code,tf,family,group,params,exit,eod,direction,trades,win,pf,avg_trade,hold_bars,total,sharpe,sortino,mdd,pmr,m_min,m_median,m_mean,m_std,score,m202510,m202511,m202512,m202601,m202602,m202603,m202604,m202605,m202606
GD,15,T_DONCH_STOP,trend,"{""n"": 40}",X0,False,1,93,0.43010752688172044,2.140699180811852,0.003982139783545171,59.01075268817204,0.3703389958391199,3.0070414149444296,5.81129880448818,0.06638709784601815,0.7777777777777778,-0.039195431396365166,0.03529587709635962,0.04114877731545777,0.05105146496786807,-0.036260029202415896,0.08466781268361956,0.04817117322818376,0.03529587709635962,0.12096587405540049,0.10666170390322804,0.017855129088275135,0.004572085075778887,-0.039195431396365166,-0.00865522789536044
RN,30,T_EMA_X,trend,"{""f"": 20, ""s"": 100}",X2,True,-1,119,0.5714285714285714,1.9566486563402254,0.002973774431573009,21.352941176470587,0.3538791578521341,2.9951241445225096,6.684583074887181,0.08816592163384485,0.6666666666666666,-0.023708862016064813,0.019397481810301542,0.039319906428014896,0.06071627271815581,-0.06604050882427638,0.019397481810301542,-0.007884154940256849,-0.022818468080004095,-0.023708862016064813,0.007068231869197916,0.02746202563866973,0.11724771512672305,0.08042285445844755,0.15669233398512006
MGNT,15,I_ORB,intraday,"{""cut"": 480, ""len"": 60, ""start"": 600}",X0,True,-1,131,0.5648854961832062,1.9264073834692421,0.0028355789102879362,43.83969465648855,0.3714608380832942,2.984570764394371,5.480196804859416,0.07337718404596671,0.7777777777777778,-0.04556823492748663,0.03434900504362304,0.04127342645369936,0.051303305707850105,-0.040166788654539085,0.10745650614262559,0.0074942983337678015,0.03434900504362304,-0.005038774106651545,-0.04556823492748663,0.004843653034185991,0.07871755774249323,0.09182627510745078,0.09738055171328597
LKOH,30,T_SUPERTREND,trend,"{""m"": 4.0, ""n"": 20}",X5,True,0,161,0.515527950310559,1.7282003566610495,0.0020841675942068496,16.596273291925467,0.33555098179203924,2.980291706433941,6.493130630242437,0.04736608875100501,0.7777777777777778,-0.019619357350165956,0.010986717534251511,0.037283442421337694,0.05303758194918925,-0.04204944490294613,0.138436948065646,0.030600243422668427,0.004778978240210563,0.006560785899637267,-0.019619357350165956,0.06932894140481949,-0.015551129297818989,0.010986717534251511,0.11002885387279093
RN,30,T_EMA_X,trend,"{""f"": 10, ""s"": 200}",X2,True,-1,115,0.5826086956521739,1.9510127110416775,0.003166750566341174,22.156521739130437,0.36417631493895897,2.9743625229962714,6.071333633901584,0.09010316451531253,0.5555555555555556,-0.0266590829960478,0.03357888292521238,0.040464034993217664,0.058559207159573676,-0.08313580509603091,0.06145126809133217,-0.01639999815961346,-0.02134579129051417,-0.0266590829960478,-0.00675282534211874,0.03357888292521238,0.12635698588564992,0.09353395708603784,0.12041291873902082
GMKN,60,V_SQUEEZE,volatility,"{""lb"": 200, ""n"": 20, ""pct"": 0.2}",X4,True,0,47,0.6170212765957447,3.09886656676113,0.005402314296014134,10.0,0.2539087671902962,2.9724284056664625,8.480164745902472,0.037211700109764934,0.7777777777777778,-0.02285630418919027,0.03235533111728728,0.028212085243366245,0.02559915900112624,-0.010250603879739882,0.02444819686934352,0.01724807685241103,0.03235533111728728,0.04226751299574971,0.055691817426122725,-0.02285630418919027,0.04544613236794248,-0.0010418276069685817,0.060349831357598305
SBER,15,R_EXTREME,meanrev,"{""m"": 3, ""z"": 4.0}",X0,True,1,21,0.6666666666666666,5.939777046724445,0.0022656854048576022,10.571428571428571,0.047579392718034796,2.9714050307083784,11.602401671848755,0.003622444812208414,0.8888888888888888,0.0,0.0025946330279111862,0.005286599190892755,0.0050405622120455575,0.018087116576479642,0.015092225628904998,0.006066909874789417,0.0025946330279111862,0.0025524404627503827,0.0,0.0024679105263203382,0.003576111077563837,0.013425174867734313,0.001803987252060324
Si,60,V_RANGE_EXP,volatility,"{""fade"": 0, ""k"": 3.0}",X4,False,-1,15,0.4666666666666667,6.030979346241214,0.008519544374930297,27.4,0.12779316578962607,2.965624080255108,8.818930921110583,0.02484397077932954,0.6666666666666666,-0.011202592053450644,0.01658641966059804,0.014199240643291786,0.020312918030430543,-0.05601658911605361,0.05983529216609895,-0.001452308613806963,0.009883401449769735,0.019696558360010386,-0.011202592053450644,-0.009017210802994668,0.01763117749214871,0.025832428131252527,0.01658641966059804
ALRS,10,M_TSMOM,momentum,"{""n"": 200, ""z"": 0.0}",X0,True,-1,174,0.5862068965517241,1.749025497488981,0.0033237281039315016,90.25862068965517,0.5783286821751972,2.9607499434281053,5.168871002953295,0.0983907131212618,0.7777777777777778,-0.050635424497158965,0.06597099648206495,0.06425874246391079,0.07388264658170918,-0.025400614031444713,0.06597099648206495,-0.050635424497158965,0.00430170485014969,0.0213152391352196,-0.010969875438604504,0.10792583954753354,0.12928576779086143,0.12381766992621124,0.1873167643789202
GD,2,M_TSMOM,momentum,"{""n"": 200, ""z"": 0.5}",X0,False,0,305,0.380327868852459,1.5607607443815774,0.0019380059538641372,278.55409836065576,0.5910918262015912,2.9603101482172356,5.778713854819736,0.09883905632887036,0.7777777777777778,-0.007426160154864192,0.041043522069230676,0.06567686957795457,0.06440131029362987,-0.006681271289330368,0.13281358996755444,-0.007378288573818281,0.016951948346104473,0.15317270578816533,0.06084906460455386,0.041043522069230676,0.0332657135440968,-0.007426160154864192,0.16779973061056808
