family,tf,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
T_DONCH,15,2700.0,2700.0,0.4766666666666667,0.1574074074074074,-0.0706280937172317,1.3213915826758094,3.7692217389510656,-0.0065584309413679875,0.01037037037037037,-0.3713926066244913
T_DONCH,60,2700.0,2676.0,0.5822122571001495,0.28101644245142005,0.27958764662137037,1.7584432430372479,3.7349476677887035,0.023938803844430367,0.026905829596412557,3.480561246235909
T_DONCH,1440,2700.0,73.0,0.4657534246575342,0.2465753424657534,-0.1519829332566989,1.9022610393268342,2.5522419025741985,-0.0242468099531834,0.0136986301369863,-24.246809914275
T_DONCH_STOP,5,2700.0,2700.0,0.5377777777777778,0.292962962962963,0.16770277052888055,2.155273897569046,5.586616838019467,0.017925915429259476,0.052592592592592594,0.23668530003578986
T_DONCH_STOP,15,2700.0,2700.0,0.4974074074074074,0.20407407407407407,-0.012081942195954983,1.6637206142716336,3.9073193480563684,-0.0012347138369364075,0.021111111111111112,-0.03912642585898596
T_DONCH_STOP,60,2700.0,2689.0,0.5098549646708813,0.2238750464856824,0.039184024746474595,1.6868967116961875,3.3842764283385343,0.004334844619547286,0.02528821123094087,0.36183732627424536
T_DONCH_STOP,1440,2700.0,179.0,0.4245810055865922,0.17318435754189945,-0.25048988271765316,1.3058063898209769,2.7011624609143663,-0.03684682652237825,0.0,-25.499091850910126
T_EMA_X,5,9180.0,8906.0,0.40287446665169546,0.16674152256905456,-0.3342945852206412,1.3707260632781708,4.145627102528783,-0.024814538389364316,0.01482146867280485,-0.7425760992394861
T_EMA_X,15,9180.0,8887.0,0.5349386744683245,0.22583549004163384,0.11506659882541939,1.5601224572428356,4.426126328461645,0.007688321566092782,0.019241588837627995,0.6414479699503349
T_EMA_X,60,9180.0,8641.0,0.5395208887860201,0.23862978821895614,0.12873867722633783,1.6430926265015,4.3034330652379245,0.009213727404130623,0.00948964240249971,1.5204519731216557
T_EMA_X,1440,9180.0,344.0,0.36046511627906974,0.19186046511627908,-0.53891952444369,1.5462566033579197,2.587851933780383,-0.09113307753614208,0.00872093023255814,-68.24246623801568
T_HMA,5,2700.0,2620.0,0.4129770992366412,0.19389312977099238,-0.3705938820786964,1.5756504383879302,6.245509534119712,-0.04117888405926351,0.023282442748091603,-0.44851004735331196
T_HMA,15,2700.0,2619.0,0.4749904543718977,0.24360442917143948,-0.10146955480965653,1.6708217089600044,4.495500607091742,-0.012906822179502342,0.020618556701030927,-0.3038556211366467
T_HMA,60,2700.0,2602.0,0.6299000768639508,0.31129900076863953,0.40375317928108023,2.043595059165229,4.680845202353791,0.04690963674192972,0.021521906225980016,3.6769000682447066
T_HMA,1440,2700.0,347.0,0.38328530259365995,0.11527377521613832,-0.27258169675949184,1.044149012652831,2.133993154327128,-0.04201103155628516,0.011527377521613832,-17.371535685819893
T_KELTNER,5,4860.0,4860.0,0.39382716049382716,0.1308641975308642,-0.37290726025462373,1.189588209524163,4.419185347715242,-0.034724324711078225,0.010493827160493827,-0.631509297903977
T_KELTNER,15,4860.0,4860.0,0.5843621399176955,0.25637860082304526,0.25711729154652957,1.7389108449737525,4.500985723088149,0.022903045239218045,0.023868312757201648,1.1666178605740019
T_KELTNER,60,4860.0,4860.0,0.589917695473251,0.2676954732510288,0.2543037486100077,1.7742318838495514,4.553907871150103,0.02420644141602679,0.02654320987654321,3.260038031491529
T_KELTNER,1440,4860.0,116.0,0.41379310344827586,0.22413793103448276,-0.2450098806475705,2.005686811514691,2.725830160748803,-0.03286100494369748,0.017241379310344827,-25.484014773004894
T_MTF,5,4320.0,4320.0,0.47638888888888886,0.19675925925925927,-0.068334637315491,1.4625196051190374,3.6304439091594425,-0.006228768545497587,0.01087962962962963,-0.0931389552339527
T_MTF,15,4320.0,4319.0,0.5519796249131743,0.24542718221810605,0.16955864513788782,1.6580016787357688,3.583390728796477,0.015340369718614966,0.023385042833989348,0.6188954323837446
T_MTF,60,4320.0,3972.0,0.6392245720040282,0.3298086606243706,0.47523252561581564,1.7877517519905088,3.509294256803982,0.03793847470296896,0.012084592145015106,4.932805498243937
T_MTF,1440,4320.0,16.0,0.25,0.1875,-0.7232445672855345,1.7258615173271181,2.227003267851746,-0.0639450155904342,0.0,-51.48019618819435
T_PRICE_MA,5,5400.0,5400.0,0.32685185185185184,0.11444444444444445,-0.6917132349266119,1.0850480442929415,3.42873321393357,-0.06887055732113367,0.005,-0.6487641904555992
T_PRICE_MA,15,5400.0,5400.0,0.4955555555555556,0.19462962962962962,-0.014475416763595293,1.510151161009496,4.298056625316307,-0.0011754373762187242,0.01814814814814815,-0.059861974155703025
T_PRICE_MA,60,5400.0,5400.0,0.58,0.25925925925925924,0.2643499659614276,1.7072506183365967,4.277136943127237,0.026377393390589532,0.017962962962962962,1.950790111211266
T_PRICE_MA,1440,5400.0,648.0,0.3055555555555556,0.12962962962962962,-0.8758261995769072,1.2880364724655458,3.187175775264441,-0.1083065504753904,0.0030864197530864196,-75.91182884145786
T_SUPERTREND,5,4860.0,4716.0,0.3462680237489398,0.14906700593723496,-0.6018608900033088,1.2911811457008298,3.8673353021216665,-0.06342280316812321,0.012298558100084818,-1.0606207162183865
T_SUPERTREND,15,4860.0,4716.0,0.4953350296861747,0.203774385072095,-0.019486231998222248,1.4645719188036828,4.254614798677988,-0.002146926384739345,0.021628498727735368,-0.099048097945239
T_SUPERTREND,60,4860.0,4678.0,0.606028217186832,0.28751603249251817,0.33986503983453253,1.8045346076095865,4.206202756689053,0.03369346864201361,0.026079521162890123,3.2830425654382793
T_SUPERTREND,1440,4860.0,233.0,0.5579399141630901,0.16738197424892703,0.09999719009244774,1.2566546973359414,2.3205666161760217,0.01986667791788932,0.0,14.190478332849061
U_BAR_PRESSURE,5,2160.0,2028.0,0.2973372781065089,0.09220907297830375,-0.66722956907261,0.9549757392884074,2.9363724993819997,-0.028999244740433028,0.0014792899408284023,-0.695058212510095
U_BAR_PRESSURE,15,2160.0,1730.0,0.23121387283236994,0.04682080924855491,-0.9512539988112755,0.5923400034999804,3.0607414039342964,-0.04507169063344918,0.0017341040462427746,-2.4275138315078264
U_BAR_PRESSURE,60,2160.0,1427.0,0.5690259285213735,0.26278906797477225,0.23541742144919509,1.6419096854680588,2.9078286284038493,0.013661461962328758,0.006306937631394534,1.6098765278160647
U_BAR_PRESSURE,1440,2160.0,26.0,0.5769230769230769,0.0,0.05362526254482293,0.9412004759254003,0.9412004759254003,0.011365323298377916,0.0,9.471096254908812
U_OBV,5,1080.0,1048.0,0.4389312977099237,0.1965648854961832,-0.24675085769515515,1.5030906526885288,3.6792647739590527,-0.027730749708816393,0.02099236641221374,-0.39702520139948955
U_OBV,15,1080.0,1048.0,0.5209923664122137,0.24141221374045801,0.07558420759764906,1.637349285558254,4.013327232361358,0.00836987153525115,0.02194656488549618,0.22705663115791044
U_OBV,60,1080.0,1038.0,0.5799614643545279,0.2832369942196532,0.2895527808259017,1.7852658011611375,4.266262697715646,0.030107140639302088,0.014450867052023121,2.4131938201889054
U_OBV,1440,1080.0,99.0,0.5454545454545454,0.25252525252525254,0.08290732100429168,1.8149778562150223,2.3223848522362487,0.016480279256938957,0.0,8.427955974789615
U_SIGNED_VOL,5,6480.0,6423.0,0.4834189631013545,0.21890082515958276,-0.052158810037088756,1.6966717838959446,4.959253620045035,-0.0032145176082849503,0.03285069282266854,-0.06532168805827494
U_SIGNED_VOL,15,6480.0,5972.0,0.4948091091761554,0.20294708640321502,-0.018152029064856814,1.5176083935613163,4.759796798189803,-0.0011244328525208402,0.029805760214333555,-0.04577921459170653
U_SIGNED_VOL,60,6480.0,5280.0,0.5104166666666666,0.20018939393939394,0.026894445143646722,1.5511960692637319,3.6445117803808436,0.0020330121224105824,0.014583333333333334,0.1935076227970762
U_SIGNED_VOL,1440,6480.0,205.0,0.45365853658536587,0.2146341463414634,-0.07031652862711235,1.4413588424017618,2.4228360650232244,-0.008852130617015064,0.004878048780487805,-6.375773436717427
U_VOL_BREAK,5,2160.0,2160.0,0.32685185185185184,0.0837962962962963,-0.48732928168064926,0.9080697880587386,3.554765662791797,-0.03842796735420961,0.0060185185185185185,-0.8676929591970193
U_VOL_BREAK,15,2160.0,2160.0,0.5208333333333334,0.20879629629629629,0.08169779826439225,1.5551964634450008,3.8202302758690854,0.006290375492270073,0.012962962962962963,0.38274635550843894
U_VOL_BREAK,60,2160.0,2142.0,0.6199813258636788,0.25396825396825395,0.32555386361404737,1.6633069024080647,3.4059269138516344,0.02304662896131049,0.023809523809523808,5.469816602222033
U_VOL_BREAK,1440,2160.0,0.0,,,,,,,,
V_NR_BREAK,5,1620.0,1572.0,0.7391857506361323,0.5674300254452926,1.33093338217355,4.0067491611512205,8.615946618160601,0.16640595166336425,0.20865139949109415,1.164750335497015
V_NR_BREAK,15,1620.0,1572.0,0.5763358778625954,0.3486005089058524,0.2971384727308001,2.266580614568501,5.941372526575654,0.041633225435040264,0.06806615776081425,0.7859185567877429
V_NR_BREAK,60,1620.0,1570.0,0.4070063694267516,0.2050955414012739,-0.36699430464265814,1.639566010042741,3.9347942017181343,-0.03562739931480531,0.01464968152866242,-1.9582905566168736
V_NR_BREAK,1440,1620.0,161.0,0.43478260869565216,0.2732919254658385,-0.13984618523973966,2.453260533213858,3.6120503151259804,-0.01745283044874668,0.018633540372670808,-16.551434995928723
V_RANGE_EXP,5,3240.0,3144.0,0.5015903307888041,0.25572519083969464,0.0041897345238620775,1.8684426560815646,5.98476765168389,0.00038281483239188674,0.04262086513994911,0.01095170931124728
V_RANGE_EXP,15,3240.0,3143.0,0.5202036271078587,0.19280941775373847,0.046872826173479716,1.4665385650587912,4.147755602666806,0.004363952437415719,0.023862551702195353,0.21179337179479174
V_RANGE_EXP,60,3240.0,3090.0,0.5210355987055016,0.22006472491909385,0.07092537122585899,1.6092575281050654,4.070533536978107,0.005869014371455705,0.031067961165048542,0.8610325157382807
V_RANGE_EXP,1440,3240.0,99.0,0.48484848484848486,0.2727272727272727,-0.1304660255093324,2.187292870078497,3.1526448874025395,-0.015403663273900747,0.0,-10.269108715974845
V_REGIME_TREND,5,3240.0,3240.0,0.5478395061728395,0.2441358024691358,0.14758281963996459,1.6725475243662558,3.705755037722727,0.00987071544295759,0.020061728395061727,0.4141091829809255
V_REGIME_TREND,15,3240.0,3240.0,0.5993827160493828,0.2654320987654321,0.3038837187383702,1.6759572947616903,3.8468993406246086,0.01831644228514051,0.012962962962962963,1.7475494245071106
V_REGIME_TREND,60,3240.0,2764.0,0.6342257597684515,0.36070911722141824,0.4897282252602258,2.0091380093361755,3.633453780905962,0.02665789365710225,0.0,7.602619677139311
V_REGIME_TREND,1440,3240.0,0.0,,,,,,,,
V_SQUEEZE,5,4320.0,4320.0,0.32407407407407407,0.1025462962962963,-0.598465797027697,1.0145206933149324,3.2147617400095503,-0.02141413959179772,0.003935185185185185,-1.1368238450735466
V_SQUEEZE,15,4320.0,4320.0,0.6041666666666666,0.30787037037037035,0.4200934682220423,1.7739856153290745,3.5927112958877725,0.019433344485150883,0.01574074074074074,2.5153964317594313
V_SQUEEZE,60,4320.0,3435.0,0.7438136826783115,0.4177583697234352,0.7381871100153301,2.116345240739659,3.933315817843692,0.027250470317085274,0.011644832605531296,13.216262389671398
V_SQUEEZE,1440,4320.0,0.0,,,,,,,,
