group,family,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
volatility,V_SQUEEZE,38880.0,33625.0,0.14843122676579926,0.04930855018587361,-4.372895588174084,0.42974509819637086,2.9724284056664625,-0.18562653986737132,0.0010111524163568773,-11.301674481698472
volume,U_OBV,9720.0,8469.0,0.07958436651316567,0.021253985122210415,-4.408759511669225,-0.22731206392367148,2.4028807097813396,-0.6244012369133998,0.0,-11.63447872758505
seasonal,I_TOD,5544.0,5256.0,0.02073820395738204,0.0036149162861491627,-4.4854470458462306,-1.458658682021004,2.0609714806209656,-0.22470311744189075,0.0,-11.922851578417289
trend,T_HMA,24300.0,21280.0,0.09210526315789473,0.025704887218045112,-4.56802843644463,-0.09122265802819471,2.8667818123975435,-0.6006427980173612,0.00042293233082706767,-11.422029567392238
trend,T_DONCH,24300.0,21649.0,0.07455309714074553,0.01856898702018569,-4.5878422050695375,-0.307926393279117,2.871863176070708,-0.47242839246700896,0.00041572359000415724,-12.092026361133286
volume,U_VOL_BREAK,19440.0,17262.0,0.08289885297184567,0.017205422314911366,-4.7105971410445076,-0.16229616468314417,2.7105695758067236,-0.41642711695976686,0.0007530992932452787,-11.806864544961723
trend,T_KELTNER,43740.0,38996.0,0.07262283311108832,0.016027284849728176,-4.963551491986447,-0.2973330981770075,3.3290440009293674,-0.5203436172054694,0.0008718842958252128,-11.604355088179751
trend,T_MTF,38880.0,34189.0,0.067858083009155,0.01687677323115622,-5.300199074940183,-0.4277619709034747,3.0484382677786352,-0.5748143731907476,0.00014624586855421334,-11.255577361491975
volatility,V_NR_BREAK,14580.0,12735.0,0.0729485669414998,0.02104436592069101,-5.3649034921601935,-0.4355591908566593,3.4888192257634536,-0.7781933631049469,0.0005496662740478995,-10.370629398566006
meanrev,R_BB,77760.0,64800.0,0.032916666666666664,0.0053858024691358026,-5.394323694505138,-0.9738754079952877,3.152909426943429,-0.4373762245866999,0.0006790123456790123,-11.450963360624035
trend,T_DONCH_STOP,24300.0,21771.0,0.0658674383354003,0.014790317394699371,-5.49136795044595,-0.394892178493012,3.0070414149444296,-0.6070461912604515,0.0007349226034633228,-11.13781283643367
meanrev,R_MA_DEV,43740.0,39004.0,0.03684237514101118,0.0077171572146446515,-5.557408079406853,-0.9211271648695788,3.264260020258554,-0.48964817524074533,0.0007691518818582709,-11.027867007244764
volume,U_SIGNED_VOL,58320.0,48916.0,0.05116935154141794,0.010671354975877014,-5.725462199001406,-0.6546548900510718,2.8654628282496106,-0.5351742069087777,0.0002248752964265271,-11.39869793213196
momentum,M_ROC_VOTE,38880.0,34688.0,0.0470479704797048,0.009369234317343173,-6.873986668832168,-0.7702255556124441,2.6852156524700805,-0.7762840923278418,0.00023062730627306272,-11.415608298260953
trend,T_PRICE_MA,48600.0,43848.0,0.041392993979200876,0.00914522897281518,-6.94792653104186,-0.9065478961326441,3.1300443016311497,-0.8722418410056889,6.841817186644773e-05,-11.587584986773843
volume,U_BAR_PRESSURE,19440.0,15086.0,0.046466922974943654,0.011268725971099033,-7.92235767196922,-0.8860395813820652,2.431015690872138,-0.5053670648761681,0.00033143311679703034,-12.390187335100913
meanrev,R_BB_LIMIT,43740.0,39285.0,0.018811251113656613,0.002367315769377625,-8.216739970476526,-1.5266155261354353,2.4034059733208237,-0.9471500370992771,0.0005345551737304314,-10.37509470237676
meanrev,R_RSI,77760.0,61959.0,0.04151132200326022,0.010991139301796349,-8.387290956982843,-0.96012420247344,2.705023060332622,-0.6556147917135604,0.0007101470327151826,-10.582079906780958
