candidate,risk_per_trade,leverage_vs_vt10,ann_vol,hist_m_mean,hist_m_median,hist_m_min,hist_mdd,hist_total,mc_monthly_median,mc_mdd_median,mc_mdd_p95,p_dd10,p_dd20,p_dd30,p_dd50,p_dd70,p_ruin,p_loss_year
C1_TREND_FUT_ENS,0.1,6.383006598026411,0.6383006598026411,0.04676893800717838,0.03892011709120591,-0.21526861750244097,0.4289655952771344,0.31667274068761997,0.022963026532667685,0.5072752562322353,0.7500923968503281,1.0,0.99956,0.96572,0.52028,0.10102,0.00022,0.36014
C2_TREND_ALL_ENS,0.001,0.06290584392500824,0.0062905843925008245,0.00044440233999561276,0.00011655538377741692,-0.0018685572685711582,0.005111329719025948,0.00488329795416953,0.0004227745201166311,0.0058720845393513965,0.011403984135069168,0.0,0.0,0.0,0.0,0.0,0.0,0.23562
C2_TREND_ALL_ENS,0.0025,0.15726460981252058,0.01572646098125206,0.0011069593216753411,0.00028016667942498685,-0.004673948266576744,0.01274363248948196,0.012143699754906256,0.0010475714132605063,0.014649482269488812,0.02833607765107251,0.0,0.0,0.0,0.0,0.0,0.0,0.23764
C2_TREND_ALL_ENS,0.005,0.31452921962504116,0.03145292196250412,0.0022002797477983908,0.0005228336498281916,-0.00935626932280531,0.025371967885737035,0.02406633241463596,0.002064805603072317,0.029178892865760087,0.05607178437506524,0.00018,0.0,0.0,0.0,0.0,0.0,0.24066
C2_TREND_ALL_ENS,0.0075,0.4717938294375617,0.047179382943756176,0.0032796779452655134,0.0007278262395813417,-0.014046693257730447,0.03788564713131848,0.035756863013657325,0.0030523347867323913,0.04358437165465762,0.08320844014540592,0.01378,0.0,0.0,0.0,0.0,0.0,0.24386
C2_TREND_ALL_ENS,0.01,0.6290584392500823,0.06290584392500824,0.004344868760164166,0.0008949715750032894,-0.018744950867269794,0.050285309918969956,0.04720435827127534,0.0040056872473432925,0.05790075672218309,0.1097763518091682,0.08242,8e-05,0.0,0.0,0.0,0.0,0.2468
C2_TREND_ALL_ENS,0.015,0.9435876588751234,0.09435876588751235,0.006431478815429614,0.0011150381187745584,-0.028163893909049165,0.07474513858871001,0.06932711211612896,0.005825194524285537,0.08614920381243951,0.16122184162895326,0.3488,0.0098,4e-05,0.0,0.0,0.0,0.2539
C2_TREND_ALL_ENS,0.02,1.2581168785001646,0.12581168785001648,0.00845779414073624,0.001181687142979948,-0.037610959462977434,0.09875654610161733,0.09034975703989057,0.007513870241200538,0.11394150580269524,0.21038130555410092,0.63722,0.0678,0.002,0.0,0.0,0.0,0.26116
C2_TREND_ALL_ENS,0.03,1.8871753177502468,0.1887175317750247,0.012320149666909268,0.0008495001781176903,-0.056580963399443185,0.1454543633820503,0.12876901085064052,0.010507992244676911,0.16819699230757518,0.3024402000238782,0.93514,0.3187,0.05258,8e-05,0.0,0.0,0.27578
C2_TREND_ALL_ENS,0.05,3.145292196250412,0.3145292196250412,0.019216769602745643,-0.0009319714536514256,-0.09476572702436004,0.23769021902291754,0.18902519216909974,0.014992323722279322,0.27090104847418706,0.462133412895978,0.99954,0.81548,0.38546,0.02462,6e-05,0.0,0.30458
