candidate,target_monthly,required_leverage_vs_vt10,required_ann_vol,required_risk_per_trade,hist_mdd,hist_m_min,hist_total,hist_ruin,mc_monthly_median,mc_mdd_median,mc_mdd_p95,p_ruin,p_dd50,feasible,note
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.15,12.807963566479891,1.2807963566479892,0.1712562669327526,0.5744069374555616,-0.21953445060397891,0.8275836033279884,False,0.0746837469906132,0.6493930100355485,0.8696159000212673,0.01018,0.8739,False,
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.2,17.077284755306525,1.7077284755306525,0.22834168924367015,0.6989387779577656,-0.29395634138568827,0.6989008969755544,False,0.06448481256862104,0.7798699631467896,0.9484342935448334,0.06676,0.98698,False,
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.3,25.615927132959783,2.5615927132959784,0.3425125338655052,0.8664413670459449,-0.43899541271494513,-0.07576236693648153,False,-0.01258632206133059,0.9364149142405407,0.9955141353210711,0.35766,0.99996,False,
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.5,42.693211888266305,4.2693211888266305,0.5708542231091753,0.996033284575219,-0.8878237071330985,-0.9891401079489369,True,-0.42409367684352506,0.9998726388933221,0.9999999100726658,0.92764,1.0,False,
C6_WF_PANEL_SHARPE_K10_SMOOTH,0.7,59.77049664357283,5.977049664357283,0.7991959123528454,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,0.99864,1.0,False,
C6_WF_PANEL_SHARPE_K10_SMOOTH,1.0,85.38642377653261,8.538642377653261,1.1417084462183507,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C7_WF_PANEL_SORTINO_K1,0.05,3.135815575815337,0.3135815575815337,0.042943399217325214,0.16299001064584373,-0.03471263851980444,0.43834515107732397,False,0.045275740976888246,0.17412162183628627,0.2942618487097425,0.0,0.00012,True,
C7_WF_PANEL_SORTINO_K1,0.1,6.271631151630674,0.6271631151630674,0.08588679843465043,0.31133181227480833,-0.06958798848436942,0.917364165812117,False,0.0825571547842121,0.3295028410029394,0.5221957461957365,0.0,0.0701,True,
C7_WF_PANEL_SORTINO_K1,0.15,9.40744672744601,0.9407446727446009,0.12883019765197562,0.4435673437797839,-0.10453279339411836,1.3726510545765946,False,0.1110637951939033,0.4664602979556957,0.692199171248844,0.0,0.39588,True,
C7_WF_PANEL_SORTINO_K1,0.2,12.543262303261349,1.2543262303261349,0.17177359686930085,0.5680996260882925,-0.13945688600528539,1.7264956066941881,False,0.1300839401026399,0.5869320215469134,0.8138094511847459,0.00204,0.75564,True,
C7_WF_PANEL_SORTINO_K1,0.3,18.81489345489202,1.8814893454892019,0.25766039530395124,0.76991752310246,-0.2088989169507499,1.8673733030905617,False,0.13740069772228325,0.7761590253659721,0.946260494335378,0.04974,0.98838,False,
C7_WF_PANEL_SORTINO_K1,0.5,31.35815575815337,3.135815575815337,0.4294339921732521,0.9655279739620659,-0.3439542726102889,0.08899971970738862,False,0.013880075719812313,0.9681777724698808,0.9991412081559166,0.44398,0.99998,False,
C7_WF_PANEL_SORTINO_K1,0.7,43.90141806141472,4.390141806141472,0.601207589042553,0.999634452360865,-0.9797045845543234,-0.9833274474740127,True,-0.37958578278501487,0.999888226031533,0.9999999929379036,0.87148,1.0,False,
C7_WF_PANEL_SORTINO_K1,1.0,62.71631151630674,6.271631151630674,0.8588679843465042,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,0.98988,1.0,False,
C8_WF_PANEL_FLOOR_K5,0.05,9.884289191882615,0.9884289191882616,0.12951671168365816,0.638600030836437,-0.32664506150446804,0.062074650190689695,False,0.006307657125036004,0.6602144024086558,0.8870429479494513,0.02048,0.84324,False,
C8_WF_PANEL_FLOOR_K5,0.1,19.76857838376523,1.9768578383765232,0.25903342336731633,0.8851979699728284,-0.5863865349575353,-0.42390597323409107,False,-0.06629086334660372,0.9231949641837187,0.9937706359859984,0.37192,0.99946,False,
C8_WF_PANEL_FLOOR_K5,0.15,29.65286757564784,2.965286757564784,0.38855013505097435,0.9694994261160337,-0.7677225401840722,-0.8472313387277187,True,-0.20632165280054404,0.991122114434831,0.9998698960148698,0.7306,1.0,False,
C8_WF_PANEL_FLOOR_K5,0.2,39.53715676753046,3.9537156767530464,0.5180668467346327,0.9939548238455381,-0.8811003275517579,-0.9834275559731263,True,-0.39488481892909755,0.9996595897423273,0.9999993840854995,0.9156,1.0,False,
C8_WF_PANEL_FLOOR_K5,0.3,59.30573515129568,5.930573515129568,0.7771002701019487,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,0.99824,1.0,False,
C8_WF_PANEL_FLOOR_K5,0.5,98.84289191882614,9.884289191882615,1.2951671168365813,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C8_WF_PANEL_FLOOR_K5,0.7,138.3800486863566,13.83800486863566,1.8132339635712138,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C8_WF_PANEL_FLOOR_K5,1.0,197.68578383765228,19.76857838376523,2.5903342336731625,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C9_META_RP,0.05,432.5167898643398,43.25167898643398,5.129229042298562,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C9_META_RP,0.1,865.0335797286796,86.50335797286796,10.258458084597123,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C9_META_RP,0.15,1297.5503695930192,129.75503695930192,15.387687126895683,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C9_META_RP,0.2,1730.0671594573591,173.00671594573592,20.516916169194246,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C9_META_RP,0.3,2595.1007391860385,259.51007391860384,30.775374253791366,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C9_META_RP,0.5,4325.167898643398,432.51678986433984,51.292290422985616,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C9_META_RP,0.7,6055.235058100757,605.5235058100757,71.80920659217985,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
C9_META_RP,1.0,8650.335797286796,865.0335797286797,102.58458084597123,1.0,-1.0,-1.0,True,-1.0,1.0,1.0,1.0,1.0,False,
