rank,strategy_id,family,instruments,annual_return,avg_monthly_return,max_drawdown,min_monthly_return,sharpe,profitable_month_ratio,walk_forward_result,holdout_result,evidence
273,LIB_167,P_XS_REV,FUT,-0.09179561261056797,-0.007248939249802788,0.23906029166391818,-0.10360817989567295,-0.42795338635232033,0.4,(in-sample конфигурация) 2026-01..06: -2.2%,2026-07..09: -4.2%,"library {""hold"": 5, ""k"": 3, ""n"": 60}"
274,LIB_122,P_XS_REV,FUT,-0.09222982294333633,-0.007624820018463652,0.3321479981968878,-0.09420858230441809,-0.4240879435238878,0.5,(in-sample конфигурация) 2026-01..06: -9.9%,2026-07..09: -4.9%,"library {""hold"": 1, ""k"": 1, ""n"": 5}"
275,LIB_375,P_EMA_L,ALL,-0.09237962002050336,-0.007637204036086587,0.25720492830805597,-0.08978101626917123,-0.355505140203789,0.4166666666666667,(in-sample конфигурация) 2026-01..06: -6.3%,2026-07..09: +7.9%,"library {""f"": 3, ""s"": 10, ""vn"": 20}"
276,LIB_124,P_XS_MOM,FUT,-0.09271988321637037,-0.007665334260612629,0.31810151124955155,-0.08555857057217509,-0.3905964109826038,0.5,(in-sample конфигурация) 2026-01..06: +6.1%,2026-07..09: -3.3%,"library {""hold"": 1, ""k"": 2, ""n"": 5}"
277,LIB_317,P_EMA_L,EQ,-0.09344218264365918,-0.00772504816829193,0.20566152265564597,-0.08829519934079144,-0.4499011634119185,0.5,(in-sample конфигурация) 2026-01..06: -5.7%,2026-07..09: +0.0%,"library {""f"": 5, ""s"": 20, ""vn"": 20}"
278,LIB_169,P_XS_MOM,EQ,-0.09482362594951702,-0.007839254790800018,0.13408001019979565,-0.07311707298504189,-0.6763148167382436,0.3333333333333333,(in-sample конфигурация) 2026-01..06: -1.3%,2026-07..09: -7.9%,"library {""hold"": 5, ""k"": 2, ""n"": 1}"
279,LIB_271,P_BRK_L,FUT,-0.09611977679893695,-0.007514125408488326,0.26402191451052204,-0.09547829712391831,-0.5954177979199312,0.4,(in-sample конфигурация) 2026-01..06: -7.2%,2026-07..09: +3.7%,"library {""n"": 55, ""vn"": 20}"
280,LIB_196,P_XS_MOM,EQ,-0.09948379147908418,-0.00822451979820471,0.30100092326756567,-0.07218896993435919,-0.5304399454625202,0.3333333333333333,(in-sample конфигурация) 2026-01..06: +0.3%,2026-07..09: +1.1%,"library {""hold"": 1, ""k"": 3, ""n"": 5}"
281,LIB_411,P_EMA_L,ALL,-0.09978588597492173,-0.008279492703546897,0.3081439109737403,-0.09923063800670207,-0.5402943802568517,0.6363636363636364,(in-sample конфигурация) 2026-01..06: -14.1%,2026-07..09: +2.1%,"library {""f"": 20, ""s"": 100, ""vn"": 60}"
282,LIB_090,P_EMA,ALL,-0.10060976781479321,-0.008347852307865238,0.3629232950042933,-0.16550514319169451,-0.2819558824800714,0.5454545454545454,(in-sample конфигурация) 2026-01..06: +3.0%,2026-07..09: -3.3%,"library {""f"": 50, ""s"": 200, ""vn"": 60}"
283,LIB_163,P_XS_REV,FUT,-0.10091162897733008,-0.007968815145432018,0.17019933531992137,-0.08818248112220317,-0.4466370446452251,0.3,(in-sample конфигурация) 2026-01..06: -3.2%,2026-07..09: -4.7%,"library {""hold"": 5, ""k"": 2, ""n"": 60}"
284,LIB_386,P_BRK_S,ALL,-0.1020432675050106,-0.00843611669188249,0.5606641966005554,-0.11242827377282083,-0.26330064519440555,0.3333333333333333,(in-sample конфигурация) 2026-01..06: +17.4%,2026-07..09: -0.9%,"library {""n"": 5, ""vn"": 20}"
285,LIB_382,P_EMA_S,ALL,-0.10210481163952499,-0.008441204665966021,0.48263806832255796,-0.13241412519710138,-0.24488937770381028,0.3333333333333333,(in-sample конфигурация) 2026-01..06: +18.3%,2026-07..09: -5.9%,"library {""f"": 20, ""s"": 100, ""vn"": 20}"
286,LIB_014,P_BRK,FUT,-0.10343926364504544,-0.008086323388124584,0.2836266989543219,-0.12154128751717508,-0.3830506620517458,0.5,(in-sample конфигурация) 2026-01..06: -1.1%,2026-07..09: -3.1%,"library {""n"": 55, ""vn"": 20}"
287,LIB_172,P_XS_MOM,EQ,-0.10687201320696477,-0.008835318552163093,0.2780671260993586,-0.06729726518096868,-0.5952560009836616,0.4166666666666667,(in-sample конфигурация) 2026-01..06: -0.8%,2026-07..09: +6.5%,"library {""hold"": 1, ""k"": 3, ""n"": 1}"
288,LIB_345,P_EMA_L,EQ,-0.10836304165068608,-0.008991161464523017,0.26082877324006404,-0.08021970912159304,-0.5851046984641219,0.45454545454545453,(in-sample конфигурация) 2026-01..06: -11.9%,2026-07..09: +0.1%,"library {""f"": 3, ""s"": 10, ""vn"": 60}"
289,LIB_104,P_XS_MOM,FUT,-0.10923989236971829,-0.009031075758078563,0.31680883917579195,-0.12237196008209139,-0.5077727674785035,0.3333333333333333,(in-sample конфигурация) 2026-01..06: +8.7%,2026-07..09: -1.9%,"library {""hold"": 1, ""k"": 3, ""n"": 1}"
290,LIB_150,P_XS_REV,FUT,-0.10933791498678432,-0.008641455582619528,0.30705505938385613,-0.16661683737765998,-0.4937249937817283,0.5833333333333334,(in-sample конфигурация) 2026-01..06: -19.9%,2026-07..09: +10.3%,"library {""hold"": 1, ""k"": 2, ""n"": 20}"
291,LIB_080,P_TSMOM,ALL,-0.11275111627739692,-0.009355251350577666,0.3552872302097967,-0.15923769178334624,-0.26441153910744275,0.45454545454545453,(in-sample конфигурация) 2026-01..06: +15.3%,2026-07..09: -2.3%,"library {""n"": 5, ""vn"": 60}"
292,LIB_108,P_XS_MOM,FUT,-0.11280986171134282,-0.009326212112379531,0.1488561898804619,-0.05218318075640127,-0.668408919993562,0.25,(in-sample конфигурация) 2026-01..06: -5.9%,2026-07..09: -3.9%,"library {""hold"": 1, ""k"": 1, ""n"": 3}"
