rank,strategy_id,family,instruments,timeframe,avg_monthly_return,median_monthly_return,min_monthly_return,profitable_month_ratio,annual_return,max_drawdown,profit_factor,sharpe,sortino,calmar,trades,walk_forward_result,holdout_result,evidence
363,LIB_221,P_XS_MOM,EQ,1d,-0.026412683399030357,-0.005005397135391831,-0.12987516674911603,0.4166666666666667,-0.3341922786555138,0.3636137292996864,0.7087737633937086,-1.4551159444736848,-1.6271373440594998,-0.9190859742814503,239.0,(in-sample конфигурация) 2026-01..06: -15.6%,2026-07..09: -8.7%,"library {""hold"": 5, ""k"": 3, ""n"": 20}"
364,LIB_180,P_XS_MOM,EQ,1d,-0.011282333728634816,-0.013591066861408763,-0.089849048119504,0.3333333333333333,-0.13647110878156674,0.2917644719937016,0.863884809206493,-0.7725579188972138,-1.1029196192266393,-0.46774409457403976,250.0,(in-sample конфигурация) 2026-01..06: -19.7%,2026-07..09: +10.8%,"library {""hold"": 1, ""k"": 2, ""n"": 3}"
365,LIB_201,P_XS_MOM,EQ,1d,-0.014865194534650072,-0.021255582105368376,-0.08175400283653289,0.16666666666666666,-0.17980939309112728,0.24422397783200722,0.8211754727797389,-1.0928697217879364,-1.514865305776527,-0.7362479093466064,250.0,(in-sample конфигурация) 2026-01..06: -7.3%,2026-07..09: -1.4%,"library {""hold"": 5, ""k"": 4, ""n"": 5}"
366,LIB_333,P_TSMOM_L,EQ,1d,-0.016471776578162626,-0.010467824176885188,-0.15213876856432762,0.36363636363636365,-0.1985207159768122,0.36805878356972244,0.8388518663688702,-0.9541585295212169,-1.2500099781036726,-0.5393723090953102,216.0,(in-sample конфигурация) 2026-01..06: -14.3%,2026-07..09: -1.6%,"library {""n"": 5, ""vn"": 60}"
367,LIB_038,P_EMA,EQ,1d,-0.02579056216685179,-0.021046129942988046,-0.1821961086243391,0.4166666666666667,-0.3119626399702392,0.5470521297247615,0.8566476670412816,-0.859034593580556,-1.0948772938081524,-0.570261265827074,250.0,(in-sample конфигурация) 2026-01..06: -0.7%,2026-07..09: +3.4%,"library {""f"": 3, ""s"": 10, ""vn"": 20}"
368,LIB_043,P_BRK,EQ,1d,-0.02149867375798446,-0.008631630946183577,-0.2256594360806048,0.4166666666666667,-0.26004795777657996,0.4805820049077738,0.8667846616519456,-0.7882458527614565,-1.0193621352575284,-0.541110476715591,250.0,(in-sample конфигурация) 2026-01..06: -3.8%,2026-07..09: +9.0%,"library {""n"": 5, ""vn"": 20}"
369,LIB_169,P_XS_MOM,EQ,1d,-0.007839254790800018,-0.01270539197139442,-0.07311707298504189,0.3333333333333333,-0.09482362594951702,0.13408001019979565,0.8874859144245187,-0.6763148167382436,-0.9104415312079469,-0.7072167268500218,250.0,(in-sample конфигурация) 2026-01..06: -1.3%,2026-07..09: -7.9%,"library {""hold"": 5, ""k"": 2, ""n"": 1}"
370,LIB_130,P_XS_REV,FUT,1d,-0.025859422463327064,-0.010464837432664353,-0.15484962344635278,0.3333333333333333,-0.3127955741164042,0.4777861984111951,0.8043586604127287,-1.2882295186274249,-1.7145411180546395,-0.6546768725353684,246.0,(in-sample конфигурация) 2026-01..06: -33.6%,2026-07..09: -5.2%,"library {""hold"": 1, ""k"": 3, ""n"": 5}"
371,LIB_047,P_BUYHOLD,EQ,1d,-0.0420639208969078,-0.026757722516776994,-0.2704595341347158,0.3333333333333333,-0.5088051871689967,1.0358667580294423,0.8310227822261155,-1.1097862777328162,-1.5764239822459698,-0.4911878706648631,250.0,(in-sample конфигурация) 2026-01..06: -61.7%,2026-07..09: -3.8%,"library {""vn"": 20}"
372,LIB_236,P_XS_MOM,EQ,1d,-0.010855180425642175,-0.014297307687229477,-0.07799266879737843,0.2,-0.13746258629456423,0.24032029211593908,0.8735201583905816,-0.6643831580136553,-0.7929772455216777,-0.5719974167984424,199.0,(in-sample конфигурация) 2026-01..06: -12.5%,2026-07..09: +2.9%,"library {""hold"": 1, ""k"": 4, ""n"": 60}"
373,LIB_098,P_XS_REV,FUT,1d,-0.02109741924990279,-0.01761057057592552,-0.2464591016760096,0.4166666666666667,-0.25519438324682414,0.40714123501675203,0.7829362573732314,-1.5318845932250895,-2.039088198135934,-0.6267957192700564,246.0,(in-sample конфигурация) 2026-01..06: -31.3%,2026-07..09: +2.7%,"library {""hold"": 1, ""k"": 1, ""n"": 1}"
374,LIB_191,P_XS_REV,EQ,1d,-0.015011286058021748,-0.01583892194321379,-0.14093602483626455,0.25,-0.18157651615783107,0.33773698200639046,0.8205766554113242,-1.1140784132744066,-1.5845464810011982,-0.537626987364965,250.0,(in-sample конфигурация) 2026-01..06: -23.9%,2026-07..09: +8.1%,"library {""hold"": 5, ""k"": 4, ""n"": 3}"
375,LIB_195,P_XS_REV,EQ,1d,-0.013426822202480556,-0.009347055169200758,-0.17955357756000012,0.4166666666666667,-0.16241084136120482,0.27846419296520253,0.8316905357262608,-1.002368258114522,-1.319386822843868,-0.5832377930957178,250.0,(in-sample конфигурация) 2026-01..06: -19.7%,2026-07..09: +1.9%,"library {""hold"": 5, ""k"": 2, ""n"": 5}"
376,LIB_233,P_XS_MOM,EQ,1d,-0.011868286613753299,-0.01340474976313999,-0.0825871147972066,0.3,-0.1502918706867252,0.26280565741762985,0.8642856071490399,-0.7165768292671753,-0.8553312666160616,-0.5718745637499474,199.0,(in-sample конфигурация) 2026-01..06: -9.8%,2026-07..09: -1.5%,"library {""hold"": 5, ""k"": 3, ""n"": 60}"
377,LIB_283,P_TSMOM_L,FUT,1d,-0.016010561429798793,-0.028252185875317082,-0.06519434577785432,0.2857142857142857,-0.20318439109471276,0.18384298640012275,0.73590047173522,-1.735756895296607,-2.0974394930459255,-1.1052061058913318,139.0,(in-sample конфигурация) 2026-01..06: -17.4%,2026-07..09: +6.2%,"library {""n"": 120, ""vn"": 60}"
378,LIB_041,P_EMA,EQ,1d,-0.030126439191917598,-0.015180441812844947,-0.12177571927531972,0.16666666666666666,-0.36440940846543524,0.48030583667059545,0.8169370924572391,-1.053860103015243,-1.3155929877860537,-0.7587028527312181,250.0,(in-sample конфигурация) 2026-01..06: -5.4%,2026-07..09: -3.2%,"library {""f"": 20, ""s"": 100, ""vn"": 20}"
379,LIB_216,P_XS_MOM,EQ,1d,-0.020471440752468578,-0.020292463086661883,-0.07001563228550367,0.3333333333333333,-0.2590194009852091,0.3112566709241946,0.7619678075928931,-1.2969617491136545,-1.5397339561199979,-0.8321730108341752,239.0,(in-sample конфигурация) 2026-01..06: -8.6%,2026-07..09: -2.7%,"library {""hold"": 1, ""k"": 2, ""n"": 20}"
