/home/user/invest_strategy/scripts/deep/a05_persistence.py:54: RuntimeWarning: Mean of empty slice
  ens_oos_mean=np.nanmean(ens), ens_pos_months=int(np.sum(np.array(ens) > 0)))
             family  tf  cls  configs  ic_mean  ic_pos_months  top_minus_bottom  ens_oos_mean  ens_pos_months  ens_202601  ens_202602  ens_202603  ens_202604  ens_202605  ens_202606
472     V_RANGE_EXP  1440  FUT     1944    0.157              5             3.703         0.164               5       0.397      -0.260       0.039       0.164       0.276       0.366
418    U_SIGNED_VOL  1440  FUT     3888   -0.036              2             0.219         0.049               2       0.094      -0.156      -0.195      -0.040      -0.100       0.689
236         T_DONCH    60  FUT     1620    0.099              6             2.196         0.047               2      -0.362      -2.702       1.887      -1.135      -0.782       3.373
128       R_EXTREME  1440  FUT     3888   -0.145              1            -2.528         0.021               1         NaN         NaN         NaN       3.949      -1.452      -2.433
326           T_MTF    60  FUT     2592    0.163              6             3.602        -0.149               3       0.262      -3.311       0.267      -1.243      -1.294       4.428
272         T_EMA_X    60  FUT     5508    0.076              4             1.401        -0.164               2      -0.783      -2.406       0.630      -0.040      -0.417       2.032
434     U_VOL_BREAK    60  FUT     1296    0.047              5             0.225        -0.177               1      -0.382      -2.579      -0.046      -1.393      -0.591       3.932
308       T_KELTNER    60  FUT     2916    0.058              4             0.541        -0.214               2      -0.493      -2.742       0.757      -1.413      -0.805       3.411
487  V_REGIME_TREND    60   EQ     1296    0.139              4             4.632        -0.306               2         NaN      -2.898      -0.108       1.484      -1.638       1.631
54       M_ROC_VOTE    60  FUT     2592    0.092              5             1.143        -0.368               2      -0.587      -3.175       1.498      -1.330      -2.055       3.443
