family,tf,cls,configs,ic_mean,ic_pos_months,top_minus_bottom,ens_oos_mean,ens_pos_months,ens_202601,ens_202602,ens_202603,ens_202604,ens_202605,ens_202606
T_HMA,2,FUT,1620,0.9346685204936512,6,58.42535599283713,-20.45529380770653,0,-17.96979032741841,-20.019880017163754,-21.28098019157666,-21.29314430866929,-20.33035542305503,-21.837612578356023
M_ACCEL,1,FUT,1296,0.9344873997983739,6,61.291223072026945,-56.58871904424,0,-52.41827372227827,-52.312728963787215,-57.247083457050834,-59.964827571228895,-56.17907448846513,-61.41032606262962
U_SIGNED_VOL,3,EQ,2592,0.9344637545598671,6,61.26182795809931,-24.490185335283257,0,-22.454095073825997,-22.03148712187519,-24.486291672387896,-25.628446894478646,-25.26107006092844,-27.079721188203386
T_ADX,1,FUT,1944,0.9334198949383022,6,54.72625775908802,-29.522645293922967,0,-26.77525322573796,-27.738737495688337,-32.651587712099904,-30.356312384624704,-29.237676729054197,-30.376304216332713
U_VOL_BREAK,1,EQ,864,0.9323804790932835,6,55.7545646266419,-44.38358240240382,0,-40.192088316602366,-41.46064888162126,-44.42117275482397,-47.52408313160266,-46.49690919852346,-46.20659213124918
R_MA_DEV,1,FUT,2916,0.9323600033195026,6,69.28812260658846,-43.538998913192735,0,-41.17354391591675,-37.66987991960395,-47.474564153297756,-45.49156362694908,-43.49849406855408,-45.9259477948348
R_MA_DEV,2,EQ,1944,0.930670056494573,6,72.23783449603964,-33.794215381921866,0,-29.844819455639843,-29.35645299414849,-34.86149325881179,-35.23275296403805,-34.42708566742323,-39.04268795146978
U_BAR_PRESSURE,1,FUT,1296,0.9305124910480348,6,77.24516639255181,-46.491920675816054,0,-47.204232180235,-43.290791523798994,-44.24407121613161,-48.91374445882161,-45.761121124903184,-49.53756355100593
T_PRICE_MA,2,FUT,3240,0.9291145651566638,6,48.10063050364311,-27.704384440759316,0,-24.118697671718397,-28.024245016219634,-28.687647428544,-29.697682171600256,-27.520514091372252,-28.17752026510136
M_ROC_VOTE,2,FUT,2592,0.9284625066306366,6,43.58889423790706,-27.071902702902737,0,-24.71885350353957,-27.706570240896955,-27.178279042584514,-28.432088575766674,-27.433163406694995,-26.962461447933705
M_ROC_VOTE,2,EQ,1728,0.9272951327300974,6,52.24101746012342,-34.69143469369664,0,-35.8357638067765,-32.83448821277351,-31.641606812913434,-34.66187582107177,-37.320523193860076,-35.85435031478458
T_HMA,3,EQ,1080,0.9271663041549245,6,56.582525867506526,-20.500825373082794,0,-19.5445450533695,-19.810144779510537,-19.343481347117432,-21.398731101031835,-21.23585233465929,-21.672197622808156
T_EMA_X,1,FUT,5508,0.9250406210881786,6,52.24271702082425,-19.33572465860711,0,-16.84437116221663,-20.008890209572034,-20.43613082608947,-20.06728841038248,-18.813240656629034,-19.84442668675302
T_DONCH,2,FUT,1620,0.9239040972815425,6,43.8305706745517,-21.596091086414713,0,-18.879832152350886,-22.100227310955663,-22.38904399766384,-22.86358078436214,-21.282463885288934,-22.061398387866824
U_BAR_PRESSURE,3,FUT,1296,0.9229029629736036,6,49.51679837492626,-25.30585758954405,0,-26.48561778658589,-24.931747631084217,-25.63433291420194,-25.91858305641158,-24.38367218717412,-24.481191961806555
M_ACCEL,3,FUT,1296,0.9215373862315523,6,41.960578010781624,-29.01279253813065,0,-26.022407632741366,-29.026339827455445,-30.212733561293618,-30.33707005772464,-29.810696951847785,-28.667507197721047
T_MTF,1,FUT,2592,0.9198359184392233,6,51.857184804144076,-32.009633295076405,0,-29.336771979455254,-31.641249860658778,-31.893144151308412,-34.24359112789769,-32.05129192292769,-32.891750728210596
V_NR_BREAK,3,FUT,972,0.9173614356542257,6,53.88568430800458,-19.127827603984894,0,-17.635182868708586,-18.722958157624053,-18.94271225069705,-20.808501679277384,-19.016523547941752,-19.64108711966055
R_EXTREME,1,FUT,3888,0.9171473535726796,6,55.653254782744405,-23.028643937101858,0,-22.01046089586175,-19.50652803693245,-26.743336382275043,-23.82955171085093,-21.919184633086452,-24.16280196360453
T_PRICE_MA,3,EQ,2160,0.9171409807385059,6,43.49711989900201,-26.20075847899622,0,-28.107476803460145,-25.44739132865778,-23.783201117401525,-25.66349706194371,-28.151103610986343,-26.051880951527803
T_SUPERTREND,2,FUT,2916,0.9159117049349382,6,41.398087753327886,-18.420500519508376,0,-15.903822706494752,-18.068935575861662,-18.571979981416263,-20.048498721849825,-18.20777303690166,-19.721993094526102
R_VOLSPIKE_FADE,1,EQ,864,0.9156525322166083,6,48.900524859898525,-38.514117780926604,0,-34.788896934365425,-32.55327155330218,-37.40488001855352,-41.55779057213823,-40.832540868315405,-43.947326738884875
T_DONCH_STOP,3,EQ,1080,0.9152979224789127,6,51.02109911675195,-21.99754288194961,0,-19.06489991238788,-22.727689585295344,-21.027282875373047,-22.983650366010927,-22.91625979060591,-23.265474762024546
T_ADX,2,EQ,1296,0.9136628367545873,6,43.697730000884626,-25.316521158895046,0,-21.76683927786008,-23.64005010264751,-25.73782259006903,-27.903007217514045,-26.514026047443508,-26.337381717836124
T_SUPERTREND,3,EQ,1944,0.9104455983000573,6,37.522829983907464,-17.671881094802785,0,-16.06736351341153,-17.2735702005503,-16.870847484257318,-18.5863734697182,-18.604314918609997,-18.62881698226935
R_RSI,10,EQ,3456,0.9094933312148118,6,52.203025593703465,-18.73368639417163,0,-17.678650095765914,-16.567899421965667,-20.294420001719278,-19.012957922670804,-18.28922508947733,-20.55896583343079
R_BB_LIMIT,3,FUT,2916,0.9087749556749923,6,48.14212528243021,-26.165638539045514,0,-23.496253433443087,-21.18584939026093,-28.358489863961868,-28.782934051181225,-25.492411868799984,-29.677892626625972
V_SQUEEZE,1,EQ,1728,0.9074334883713027,6,38.69213315665075,-32.015353554681475,0,-28.49072670425659,-29.164735496028335,-32.445932988487854,-33.45895923398108,-34.38245032407831,-34.149316581256635
T_KELTNER,2,EQ,1944,0.9073317964998425,6,44.57319075500747,-29.188980191993767,0,-27.341097428851615,-27.66518096380329,-27.826235331305345,-31.02700021852968,-31.508540516128587,-29.76582669334411
