construction,haircut,scale,risk_per_trade,growth_12m_p50,growth_12m_p05,growth_12m_p95,monthly_p50,p_dd_gt_25,p_halt_30,maxdd_p50,maxdd_p95,p_loss_12m,worst_month_p50,half_kelly
A_ema_only,1.0,10.5,0.0525,0.15674173475604292,-0.2808739057044076,1.9364303620471692,0.012207848458510862,0.95525,0.627,-0.3017971761183195,-0.33182143403946207,0.361,-0.1460228997724926,8.575000000000001
A_ema_only,1.0,11.0,0.055,0.1323123426946966,-0.2864029887898014,2.106566515790779,0.010408955398478081,0.9555,0.69575,-0.3032519710164434,-0.33320373157147426,0.383,-0.1486849663223485,8.575000000000001
A_ema_only,1.0,11.5,0.0575,0.07282780946861767,-0.293473962355299,1.7866309090834451,0.005875357183166452,0.9705,0.85075,-0.3000796909030393,-0.3274181170198706,0.4345,-0.1506409740615221,8.575000000000001
A_ema_only,1.0,12.0,0.06,0.06779734573210461,-0.300160641173014,1.7602455910189163,0.005481466172993166,0.991,0.876,-0.312073132809662,-0.3302342035866794,0.442,-0.15363129398343472,8.575000000000001
A_ema_only,1.0,12.5,0.0625,0.051505894769599436,-0.3026426322362247,1.8640361476235228,0.004194047352759522,0.99125,0.9,-0.3239787829516081,-0.3346510860352532,0.45425,-0.15773347916388636,8.575000000000001
A_ema_only,1.0,13.0,0.065,0.027840729265204534,-0.30364172622409635,1.7931579534146453,0.0022909721428139296,0.99325,0.9205,-0.32764679028854404,-0.34092515811426505,0.47325,-0.16169990228145825,8.575000000000001
A_ema_only,1.0,13.5,0.0675,0.01611535317664714,-0.3072044385767615,1.7713283195092808,0.001333127767743969,0.99525,0.93275,-0.3262371788239614,-0.3478096565731341,0.4845,-0.1678117289181919,8.575000000000001
A_ema_only,1.0,14.0,0.07,0.01520634354347461,-0.3089360864510007,1.7247238118969448,0.0012584483460647,0.996,0.94925,-0.3258796933672421,-0.3591689827893878,0.48575,-0.16947263591356637,8.575000000000001
A_ema_only,1.0,14.5,0.0725,-0.013652779110958524,-0.3092812650797234,1.3346113625740332,-0.0011449136995379527,0.99725,0.9795,-0.3138645213373509,-0.37072346587262817,0.51425,-0.16544529366133154,8.575000000000001
A_ema_only,1.0,15.0,0.075,-0.025450845268083166,-0.31593160853094304,1.277521327309882,-0.0021460539538005197,0.9985,0.98175,-0.31593160853094315,-0.38219015719119176,0.52475,-0.1694443459136844,8.575000000000001
A_ema_only,1.0,15.5,0.0775,-0.023568806736137815,-0.31769412207631587,1.3078347037165203,-0.001985608878235401,0.999,0.986,-0.3131028571430195,-0.3935690567450789,0.52175,-0.17051037980562467,8.575000000000001
A_ema_only,1.0,16.0,0.08,-0.029620028726050185,-0.3209497812729223,1.302826945588122,-0.0025024936311615065,0.99925,0.989,-0.31297407052221915,-0.4048601645342895,0.52575,-0.17288588876409094,8.575000000000001
A_ema_only,1.0,16.5,0.0825,0.03232663015756354,-0.3156894561980955,1.7359574991240247,0.0026547776204968176,0.9995,0.97475,-0.31873769324421886,-0.36831294648543045,0.46525,-0.1640423426939469,8.575000000000001
A_ema_only,1.0,17.0,0.085,0.02506677421031811,-0.31870386826277985,1.7653398765112187,0.0020652760874415588,0.9995,0.97875,-0.3254166770234307,-0.37111667586462493,0.4725,-0.164317228764639,8.575000000000001
A_ema_only,1.0,17.5,0.08750000000000001,0.007723054641621152,-0.3205287687273223,1.3585739662539114,0.0006413209350444316,0.99975,0.9945,-0.3137555539488448,-0.3704099569344627,0.48825,-0.15996011373997887,8.575000000000001
A_ema_only,1.0,18.0,0.09,0.005449013618130216,-0.3216784336300834,1.3496845947657246,0.0004529543407032488,0.99975,0.9945,-0.31384044368497593,-0.3747379000960417,0.4905,-0.162857184128118,8.575000000000001
A_ema_only,1.0,18.5,0.0925,0.003352396948681502,-0.32993828757765165,1.3369735112996515,0.00027893807876377963,1.0,0.9955,-0.3166331595630414,-0.3785778062002204,0.4965,-0.16608145019929127,8.575000000000001
A_ema_only,1.0,19.0,0.095,-0.0011823682008127445,-0.33010166057389745,1.378104963593711,-9.858411939667189e-05,1.0,0.996,-0.32435679075977775,-0.38291365933587274,0.5015,-0.1675726578629761,8.575000000000001
A_ema_only,1.0,19.5,0.0975,-0.012575997216798807,-0.33319176481851176,1.3985579281775413,-0.001054089421640203,1.0,0.99575,-0.332036526074176,-0.38864015535169866,0.51225,-0.17138642881107996,8.575000000000001
A_ema_only,1.0,20.0,0.1,-0.022782041401033126,-0.3396723655062359,1.3648248655485165,-0.0019186206031313047,1.0,0.997,-0.3396723655062359,-0.39087028805889434,0.523,-0.17497865523299516,8.575000000000001
B_equal_risk,0.5,0.5,0.0025,0.013590437861045856,-0.023968873812019953,0.05264853879515563,0.0011255426266687518,0.0,0.0,-0.02212252833669165,-0.040888931057203745,0.285,-0.009849395562839258,3.875
B_equal_risk,0.5,1.0,0.005,0.02647559098019414,-0.04831267369144432,0.10698449825763734,0.002179970881772464,0.0,0.0,-0.04396484683101487,-0.08061504131579253,0.2915,-0.019675009904159935,3.875
B_equal_risk,0.5,1.5,0.0075,0.03861467853403022,-0.07318191716154854,0.16291038101358524,0.0031623050142763898,0.0,0.0,-0.06562677138438916,-0.11919066245590705,0.2975,-0.029507876431941416,3.875
B_equal_risk,0.5,2.0,0.01,0.05005177475286704,-0.10254603714534316,0.2204156461597151,0.004078249538789214,0.0,0.0,-0.08690921049772776,-0.15623165285430665,0.3055,-0.03935241181813637,3.875
B_equal_risk,0.5,2.5,0.0125,0.06023517447025206,-0.13434141712671843,0.27951624089872174,0.004886127229389858,0.0,0.0,-0.1079661294142526,-0.1829692193193344,0.3205,-0.048940563922438396,3.875
B_equal_risk,0.5,3.0,0.015,0.06394259277644343,-0.15279889678886527,0.33935416596686574,0.00517848183507974,0.00125,0.0,-0.12894881644955214,-0.20374947849448785,0.3465,-0.05834456747101552,3.875
B_equal_risk,0.5,3.5,0.0175,0.061262204439603174,-0.16549824948351965,0.4012816995704611,0.004967209102310743,0.01075,0.0,-0.14952680578485283,-0.22269983685919245,0.374,-0.06711533928762736,3.875
B_equal_risk,0.5,4.0,0.02,0.05450792439954588,-0.17943454347136523,0.4584068407276076,0.00443264822899514,0.036,0.00075,-0.16954787558319223,-0.24252561962140395,0.4025,-0.07552534085780183,3.875
B_equal_risk,0.5,4.5,0.0225,0.04413945947017428,-0.19308825076740066,0.5122072521745549,0.003605907565406463,0.07625,0.00725,-0.18876245027609845,-0.2615691885722721,0.42375,-0.08300888785560284,3.875
B_equal_risk,0.5,5.0,0.025,0.03584031537100296,-0.20875431746445983,0.5659525259163081,0.002938725965270894,0.14375,0.02225,-0.20301215131107914,-0.27844072218980115,0.4425,-0.08962241569868695,3.875
B_equal_risk,0.5,5.5,0.0275,0.028273035564915894,-0.22620790641062982,0.6069004275811036,0.002326095385761562,0.22425,0.0435,-0.21589128946663855,-0.2963785522174387,0.456,-0.09550268818192026,3.875
B_equal_risk,0.5,6.0,0.03,0.019065148998221648,-0.23943911054217193,0.653764444134558,0.0015750462881987115,0.31175,0.0775,-0.22876454201268132,-0.3019457405148116,0.471,-0.10242257826516599,3.875
B_equal_risk,0.5,6.5,0.0325,0.005240748852645805,-0.2568479828076432,0.6844714071629128,0.0004356835425511907,0.41475,0.1245,-0.24124719000369343,-0.30498583568343146,0.4935,-0.10777798392265081,3.875
B_equal_risk,0.5,7.0,0.035,-0.009135975314313649,-0.2676328508144893,0.6960385596442153,-0.0007645379478571357,0.53425,0.18425,-0.25351586622558825,-0.30812989007086117,0.5165,-0.11325349875008872,3.875
B_equal_risk,0.5,7.5,0.0375,-0.010057246090123484,-0.2806080664912812,0.7014984815463001,-0.0008419921470802505,0.61275,0.23425,-0.2619673043033194,-0.3104319617674526,0.51575,-0.11639199077000706,3.875
B_equal_risk,0.5,8.0,0.04,-0.026812267052861438,-0.29067117806464016,0.7113573752220308,-0.0022622932332700962,0.69825,0.317,-0.27379699204849883,-0.31274471680212346,0.53975,-0.12110561565697148,3.875
B_equal_risk,0.5,8.5,0.0425,-0.03810945579614211,-0.29672859845585187,0.7395508565272904,-0.0032326482219304786,0.7615,0.3865,-0.2841371704921475,-0.3163247738257042,0.551,-0.12655458502600747,3.875
B_equal_risk,0.5,9.0,0.045,-0.044568870506956015,-0.3000741389526751,0.7833198938868704,-0.003792174466358933,0.81425,0.458,-0.29372823170542706,-0.32018324775589674,0.5535,-0.1298130614511535,3.875
B_equal_risk,0.5,9.5,0.0475,-0.0563607580543658,-0.3003240901411456,0.815568876780046,-0.0048226124176896645,0.8625,0.5315,-0.3003808695199082,-0.32305703131718555,0.5745,-0.13442742482464137,3.875
B_equal_risk,0.5,10.0,0.05,-0.06586822053659946,-0.30062545763891146,0.8165759967412172,-0.005662056394446391,0.89425,0.60225,-0.3014957000668013,-0.32640510785333915,0.58675,-0.13882719366111101,3.875
B_equal_risk,0.5,10.5,0.0525,-0.07188539147947648,-0.3020462979939703,0.8207698520965321,-0.006197387585693992,0.93275,0.67275,-0.30233720947252307,-0.3304203400303367,0.60325,-0.14180231960237671,3.875
B_equal_risk,0.5,11.0,0.055,-0.07205670492673977,-0.30319113943217035,0.8300774110923375,-0.006212675402781809,0.95325,0.726,-0.3036129362346438,-0.33165171195754406,0.60675,-0.14473819579410058,3.875
B_equal_risk,0.5,11.5,0.0575,-0.07847680404389179,-0.3038210490705475,0.8090133554473615,-0.006787471204297457,0.973,0.78475,-0.30438857251379026,-0.3353416351106791,0.62575,-0.14712599590200598,3.875
B_equal_risk,0.5,12.0,0.06,-0.08909437522504249,-0.30581291094454977,0.7215117830009741,-0.0077461744106721575,0.9805,0.85275,-0.30603154873319854,-0.3377015948193694,0.65525,-0.1493110013801432,3.875
B_equal_risk,0.5,12.5,0.0625,-0.08802953936781077,-0.3065939348617177,0.6929117398538305,-0.007649565264900127,0.9835,0.89775,-0.3043239664128358,-0.337493506682204,0.65275,-0.15369601325489335,3.875
B_equal_risk,0.5,13.0,0.065,-0.1003299943353102,-0.30734942307145763,0.676252756646073,-0.008771903976710127,0.99125,0.91975,-0.30981869513827726,-0.3390975043161132,0.66275,-0.15634547017617445,3.875
B_equal_risk,0.5,13.5,0.0675,-0.10281399352028475,-0.307485248924681,0.6856148025146536,-0.009000259106117903,0.99275,0.93875,-0.309527617895893,-0.33755397711191754,0.667,-0.159248349986632,3.875
B_equal_risk,0.5,14.0,0.07,-0.10615708169785143,-0.30755526335811323,0.6761298327813972,-0.009308507253486531,0.99475,0.95425,-0.3088594915674517,-0.3373485970969033,0.661,-0.1644538162151709,3.875
B_equal_risk,0.5,14.5,0.0725,-0.10917734699399706,-0.310646423900931,0.7071993497479274,-0.009587899659878163,0.99475,0.96225,-0.31299143709001315,-0.3436577185735916,0.6575,-0.16491386080331016,3.875
B_equal_risk,0.5,15.0,0.075,-0.10111751580161243,-0.31041742092854463,0.712001964279467,-0.00884423853232752,0.99625,0.96525,-0.3072826770478171,-0.34530487624865946,0.626,-0.16148563308208952,3.875
B_equal_risk,0.5,15.5,0.0775,-0.10373597394387324,-0.31024128559765596,0.6557415433221516,-0.009085164668358736,0.997,0.98225,-0.3082776755746746,-0.3425079225273562,0.62575,-0.1626548421840126,3.875
B_equal_risk,0.5,16.0,0.08,-0.10338417616460571,-0.3157406717000636,0.6725368502644999,-0.009052758021656615,0.9975,0.985,-0.3115388990379896,-0.3448226282171524,0.62425,-0.16667801753054579,3.875
B_equal_risk,0.5,16.5,0.0825,-0.10780838699647255,-0.32008094836838585,0.6538444841082136,-0.009461155341674021,0.99725,0.989,-0.32042009023371365,-0.34459858591649156,0.623,-0.16660638006357698,3.875
B_equal_risk,0.5,17.0,0.085,-0.11114238953043643,-0.3228107539521252,0.6887879941325876,-0.009770144346538556,0.99825,0.98925,-0.32500081027478767,-0.3472585736037102,0.626,-0.1684945321063525,3.875
B_equal_risk,0.5,17.5,0.08750000000000001,-0.11267891387079088,-0.325736664295316,0.6675902870430557,-0.009912904285660384,0.9985,0.991,-0.3234639372484944,-0.35062617074808344,0.6265,-0.1721159670477418,3.875
B_equal_risk,0.5,18.0,0.09,-0.11734006235565297,-0.3289524252644569,0.6945178532822265,-0.010347366665874658,0.99925,0.9935,-0.32415565426729837,-0.3554954890547226,0.63075,-0.17459620821762073,3.875
B_equal_risk,0.5,18.5,0.0925,-0.11977178057576832,-0.3333867364297757,0.6795713638489733,-0.010574860891289006,0.99925,0.99475,-0.3286058427010605,-0.3645548878476047,0.633,-0.17511639982477584,3.875
B_equal_risk,0.5,19.0,0.095,-0.12842847398477986,-0.33799516149825104,0.6654047228031672,-0.011389422563685137,1.0,0.996,-0.3370422546900128,-0.37357020686194187,0.64575,-0.17905352343960468,3.875
B_equal_risk,0.5,19.5,0.0975,-0.09501689578773176,-0.33595374288790125,0.839258465285845,-0.008285402345785342,1.0,0.99125,-0.32261629241530826,-0.3825414460977338,0.604,-0.17503954394293525,3.875
B_equal_risk,0.5,20.0,0.1,-0.09706627592992179,-0.3436577683116395,0.8224790877170072,-0.008472745873494225,1.0,0.99325,-0.3227566949935984,-0.39146860555498086,0.60825,-0.17672552071208658,3.875
B_equal_risk,1.0,0.5,0.0025,0.027902988871298717,-0.010184594421433935,0.06751038124252884,0.002296031333645532,0.0,0.0,-0.018625348772394135,-0.03382235578858849,0.1175,-0.008691129904021155,7.575000000000001
B_equal_risk,1.0,1.0,0.005,0.05566714761159397,-0.021239728364286115,0.13845600503933153,0.004524616511502044,0.0,0.0,-0.03706119596608526,-0.0669227349044984,0.1215,-0.017379089298974526,7.575000000000001
B_equal_risk,1.0,1.5,0.0075,0.08323023712836353,-0.03325331763098427,0.21284258805590306,0.006684537238502042,0.0,0.0,-0.0553416853044964,-0.09905815870144853,0.12475,-0.026094970091529945,7.575000000000001
B_equal_risk,1.0,2.0,0.01,0.11055430942135835,-0.04663719268146438,0.29076519839373716,0.008776562528542309,0.0,0.0,-0.07346681264514338,-0.13059098237316302,0.129,-0.03484648236714599,7.575000000000001
B_equal_risk,1.0,2.5,0.0125,0.13784256213215418,-0.06546295200952279,0.3723467448459046,0.01081927459368992,0.0,0.0,-0.09147752860731884,-0.1612299962324429,0.139,-0.04361819708950343,7.575000000000001
B_equal_risk,1.0,3.0,0.015,0.16227443699847788,-0.0946015183842619,0.4576135692270207,0.012610416359164489,0.0,0.0,-0.10910016568250036,-0.18455736634100262,0.157,-0.052261526867621366,7.575000000000001
B_equal_risk,1.0,3.5,0.0175,0.1838858086777706,-0.1152953502528532,0.5460207380202364,0.014166244088852809,0.00175,0.0,-0.12684681730292985,-0.20256039458585393,0.17525,-0.06101063365489601,7.575000000000001
